Core-ID,CDISC Rule ID,Error Message,Description,Standard Name,Standard Version,Scope,Executability,Status
CORE-000105,"CG0569, TIG0653","'--LOBXFL = 'Y', but --STRESC is empty.",Raise an error when --LOBXFL = 'Y' and --STRESC is empty.,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000068,"CG0641, TIG0682",AGETXT is present.,Raise an error when AGETXT is present.,"SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000069,"CG0642, TIG0683",SPECIES is present.,Raise an error when SPECIES is present.,"SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000071,"CG0644, TIG0685",SBSTRAIN is present.,Raise an error when SBSTRAIN is present.,"SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000170,"CG0541, TIG0634",Value of --LOBXFL must be 'Y' or null,Raise an error when --LOBXFL is not 'Y' or null,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000597,"CG0043, TIG0322",Missing AESMIE=Y where SUPPAE.QNAM=AESOSP,"When SUPPAE.QNAM=AESOSP is present, a record with AESMIE=Y should be present","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000009,"CG0152, SEND124.1, TIG0393, TIG0061",ELEMENT variable has a non-null value when ETCD has a value of 'UNPLAN',Verify that ELEMENT value is blank when ETCD is equal to UNPLAN,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG","3.4, 3.2, 3.3, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SE""]},""Use_Case"":""INDH, NONCLIN""}",Fully Executable,Published
CORE-000736,FB1116,AGE and AGETXT are in the list of TSPARAMCDs with TSVAL populated.,"Either AGE or AGETXT is in the list of TSPARMCDs with TSVAL populated, not both.",SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
CORE-000370,"CG0143, TIG0387","DM.RFICDTC is not equal to the earliest DSSTDTC, when DSTERM indicates Informed consent obtained.",DM.RFICDTC must equal the earliest DS.DSSTDTC when DSTERM indicates informed consent obtained.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""DS""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000735,CG0444,"Throw error when TSPARMCD is equal to COMPTRT, CURTRT, or TRT and TSVCDREF ^= UNII","When TSPARMCD is equal to COMPTRT, CURTRT or TRT, TSVCDREF should equal UNII",SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
CORE-000192,"CG0530, TIG0623",RFENDTC is not blank when ARMNRS is provided.,Raise an error when ARMNRS is not blank and RFENDTC is provided.,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000121,"CG0520, TIG0615","Value for ARMNRS is populated, when both ARMCD and ACTARMCD values are populated","Verify the value for ARMNRS, when both ARMCD and ACTARMCD values are populated","SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000046,"CG0519, TIG0614",ARMNRS is missing when ARM value is missing,Verify ARMNRS is not null when ARM is null,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000024,"CG0082, TIG0347",'--BODSYS is not empty and --BDSYCD is empty,"Raise an error if --BODSYS is not empty, --BDSYCD is empty","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000045,"CG0517, TIG0612",ARMNRS value is missing when ARMCD value is missing,Verify ARMNRS is not null when ARMCD is null,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000012,"CG0040, TIG0319",AEOCCUR is present in AE dataset.,Raise an error when AEOCCUR exists in AE dataset.,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000357,"CG0018, TIG0303",Supplemental qualifier dataset associated with a split dataset is greater than 8 characters in length,"When a supplemental qualifier dataset is associated with a split dataset, the dataset name length must not be greater than 8 characters.","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""SUPP--""],""include_split_datasets"":true},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000224,"CG0515, TIG0610","ACTARM is empty, but ARMNRS is not completed.",Raise an error when ACTARM is empty and ARMNRS is not completed.,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000223,"CG0513, TIG0608","ACTARMCD is empty, but ARMNRS is not completed.",Raise an error when ACTARMCD is empty and ARMNRS is not completed.,"SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000217,"CG0462, TIG0592","ECDOSE is empty, ECOCCUR is not equal to 'N' and ECSTAT is empty, but ECDOSTXT is also empty.","Raise an error when ECDOSE is empty, ECOCCUR is not equal to 'N', ECSTAT is empty and ECDOSTXT is empty","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""EC""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000178,CG0172,"SSSTRESC = 'DEAD', but SSDTC < max DS.DSSTDTC.",Raise an error when SSSTRESC = 'DEAD' and SSDTC < max DS.DSSTDTC.,SDTMIG,"3.4, 3.3, 3.2","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""SS""]}}",Fully Executable,Published
CORE-000733,CG0281,TSPARMCD = RANDQT record is not present,At least one observation where TSPARMCD = TRT is present and there is only one investigational treatment,SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
CORE-000187,"CG0168, TIG0400",CODTC is populated when IDVAR is also populated,Trigger error when IDVAR is not null and CODTC is not null,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""CO""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000729,FB0912,INVNAM and INVID do not have a one-to-one relationship,There must be a one-to-one relationship between INVNAM and INVID,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000251,"CG0067, FB0614","DSDECOD is not ""DEATH"", When SS.SSSTRESC = ""DEAD"".","When SS.SSSTRESC = ""DEAD"", the final disposition record must have DSDECOD ^= ""DEATH"".",SDTMIG,"3.4, 3.3, 3.2","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""SS""]}}",Fully Executable,Published
CORE-000017,"CG0166, TIG0398",RDOMAIN has a missing value when IDVARVAL has a non-missing value,Verify RDOMAIN is not null when IDVARVAL is not null,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""CO""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000158,"CG0163, TIG0396","IDVAR should not be missing when RDOMAIN is not in (empty, DM).",IDVAR must be specified.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""CO""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000090,"CG0164, TIG0397",RDOMAIN has a missing value but IDVAR has a non-missing value,Verify IDVAR is null when RDOMAIN is null,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""CO""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000337,"CG0140, TIG0386","Multiple races are collected in SUPPDM but RACE in DM does not equal ""MULTIPLE"".","Raise an error when multiple races are collected in SUPPDM but RACE in DM does not equal ""MULTIPLE"".","SDTMIG, TIG","3.2, 3.3, 3.4, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""SUPPDM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000291,"CG0105, TIG0370",EXVAMT is present when EC exists.,"When EC exists, EXVAMT should not be used.","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""EX""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000585,CG0313,"One of following variables is not present in the dataset; STUDYID, DOMAIN, USUBJID (or POOLID) or --SEQ.","Raise an error when one of the following variables; STUDYID, DOMAIN, USUBJID (or POOLID) or --SEQ is not present in the dataset.",SDTMIG,3.2,"{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000200,"CG0348, TIG0513",'--ORRES cannot be null when --STAT is null or --DRVFL not equal to 'Y',Verify that --ORRES is not missing when either --STAT is null or --DRVFL not equal to 'Y',"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000571,"CG0024, TIG0307",LNKID variable is only found in one domain.,Verify that when --LNKID is present in one domain it is also present in another domain.,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000358,"CG0022, TIG0306",LNKGRP variable is not found in any of the other domains.,Verify that when --LNKGRP is present in one domain it is also present in another domain.,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000725,FB0909,AEPTCD and AEDECOD do not have a one-to-one relationship,There must be a one-to-one relationship between AEPTCD and AEDECOD,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000237,"CG0027, SEND43, TIG0309",'--SCAT is equal to --CAT,Trigger error when --SCAT is not null and --SCAT is equal to --CAT,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, TIG","3.4, 3.3, 3.2, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000241,"CG0421, TIG0576","'--ENRF is populated when --OCCUR = ""N""","When --OCCUR = 'N', --ENRF must not be populated","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000162,"CG0344, TIG0509",'--TESTCD is equal to 'MULTIPLE',Raise an error when --TESTCD = 'MULTIPLE',"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000324,"CG0234, TIG0443","'--ENRTPT is not in ('BEFORE', 'COINCIDENT', 'ONGOING', 'UNKNOWN')","Trigger error when --ENRTPT is not in ('BEFORE', 'COINCIDENT', 'ONGOING', 'UNKNOWN')","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Partially Executable,Published
CORE-000293,"CG0205, TIG0425",Length of dataset name of SUPP-- dataset is greater than 8.,Trigger error if length of dataset name is greater than 8,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""SUPP--""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000098,"CG0116, TIG0379","'--DIR variable is present, when --LOC variable does not exist in a dataset.","Raise an error when --LOC does not exists in a dataset, --DIR exists.","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS"",""FINDINGS"",""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000096,"CG0115, TIG0378","'--PORTOT variable is present, when --LOC variable does not exist in a dataset.","Raise an error when --LOC does not exists in a dataset, --PORTOT exists.","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS"",""FINDINGS"",""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000484,"CG0200, TIG0421",Unique RELID is NOT present on multiple RELREC records within a subject.,"Within a subject, each unique RELID should be present on multiple RELREC records","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""RELATIONSHIP""]},""Domains"":{""Include"":[""RELREC""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000080,"CG0093, TIG0358","'--TPTREF is present when --ELTM, --TPTNUM, and --TPT are not present.","Raise an error when --ELTM, --TPTNUM, and --TPT are not present in dataset, but --TPTREF is present.","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000167,"CG0092, TIG0357",'--TPTREF must be present when --ELTM is present in a dataset,Raise an error when--ELTM is present but --TPTREF is not present in dataset.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000165,"CG0090, TIG0355, FB3701",'--TPTREF is not present when --RFTDTC is present in a dataset,Raise an error when --TPTREF is not present in dataset when --RFTDTC is present.,"SDTMIG, TIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.4, 3.3, 3.2, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000023,"CG0084, TIG0349",'--TOX present in dataset even though --TOXGR is not,"Raise an error when --TOXGR is not present in dataset, but --TOX is present","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""EVENTS"",""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000724,FB0910,AEBDSYCD and AEBODSYS do not have a one-to-one relationship,There must be a one-to-one relationship between AEBDSYCD and AEBODSYS,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000302,FB0920,QNAM and QLABEL do not have a one-to-one relationship,QNAM and QLABEL should have a one-to-one relationship,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""RELATIONSHIP""]},""Domains"":{""Include"":[""SUPP--""]}}",Fully Executable,Published
CORE-000723,FB0907,AEHLTCD and AEHLT do not have a one-to-one relationship,There must be a one-to-one relationship between AEHLTCD and AEHLT,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000240,"CG0420, TIG0575","'--STRF is populated when --OCCUR = ""N""","When --OCCUR = 'N', --STRF must not be populated","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000243,"CG0354, TIG0519",'--REASEX must never be used in SDTM-based human clinical trials,Raise an error when --REASEX is present in dataset.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000242,"CG0353, TIG0518",'--EXCLFL must never be used in SDTM-based human trials,Raise an error when --EXCLFL is present in dataset.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000248,"CG0026, SEND63, TIG0265, TIG0308, FB3702",'--RFTDTC is populated when --TPTREF is null,Trigger error when --TPTREF = null and --RFTDTC is populated,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG, SENDIG-AR","3.4, 3.3, 3.2, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD, NONCLIN""}",Fully Executable,Published
CORE-000028,"CG0008, TIG0293",'--TPTREF is empty and --ELTM is not empty,"Raise an error when --TPTREF is empty, but --ELTM is not empty","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000265,"CG0046, TIG0325, FB4402","'--ENRTPT is completed, but --ENTPT is not completed.",Raise an error when --ENRTPT is completed and --ENTPT is not completed.,"SDTMIG, TIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.4, 3.3, 3.2, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000658,FB3412,RFICDTC is greater than RFXSTDTC,Date/Time of Informed Consent (RFICDTC) should not be after Date/Time of First Study Treatment (RFXSTDTC),SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000714,FB3408,RFXSTDTC is greater than RFXENDTC,Date/Time of First Study Treatment (RFXSTDTC) variable value must be less than or equal to Date/Time of Last Study Treatment (RFXENDTC).,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000720,FB3406,'--DTC is greater than RFPENDTC,Date/Time of Collection (--DTC) variable value must be less than or equal to Date/Time of End of Participation (RFPENDTC).,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS"",""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000719,FB0908,AEHLGTCD and AEHLGT do not have a one-to-one relationship,There must be a one-to-one relationship between AEHLGTCD and AEHLGT,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000718,FB3209,'--STDTC is greater than --ENDTC,"Start Date/Time of Event, Exposure or Observation (--STDTC) must be less or equal to End Date/Time of Event, Exposure or Observation (--ENDTC).","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""SPECIAL PURPOSE""]},""Domains"":{""Exclude"":[""DM""]}}",Fully Executable,Published
CORE-000717,FB3401,AESTDTC is greater than max(DSSTDTC),Start Date/Time of Adverse Event (AESTDTC) should be less than or equal to the Start Date/Time of the latest Disposition Event (DSSTDTC).,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000716,FB0911,AESOCCD and AESOC do not have a one-to-one relationship,There must be a one-to-one relationship between AESOCCD and AESOC,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000035,"CG0658, TIG0696",VISITDY is populated when SVPRESP is null.  VISITDY is the Planned Study Day of a visit. It should not be populated for unplanned visits.,Raise an error when SVPRESP is null and VISITDY is not null.,"SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000036,"CG0657, TIG0695",Planned visit is not found in TV.,"Raise an error when SVPRESP is ""Y"" and VISIT is not present in TV.VISIT.","SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000040,"CG0656, TIG0694",VISITNUM for unplanned visit is present in TV.,Raise an error when SVPRESP is null and VISITNUM is present in TV.VISITNUM,"SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000039,"CG0655, TIG0693",VISITNUM for planned visit is not in TV.,"Raise an error when SVPRESP=""Y"" and VISITNUM is not in TV.VISITNUM","SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000540,"CG0333, TIG0499",Parent domain referenced in Findings About dataset name is not present in the study,Raise an error when parent domain referenced in Findings About dataset name is not present in the study.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""],""include_split_datasets"":true},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000038,"CG0654, TIG0692","SVPRESP is not ""Y"" when SVOCCUR is populated.","Raise an error when SVOCCUR is not null and SVPRESP is not ""Y"".","SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000037,"CG0653, TIG0691","SVPRESP is not null and not equal to ""Y"". Values should be ""Y"" or null.","Raise an error when SVPRESP not ""Y"" or null.","SDTMIG, TIG","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]},""Use_Case"":""INDH""}",Fully Executable,Published
,FB7101,"For the same analyte, specimen type are not consistent across pharmacokinetic datasets within a submission.","For the same analyte, specimen type should be consistent across pharmacokinetic datasets within a submission.","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS"",""RELATIONSHIP""]},""Domains"":{""Include"":[""PP"",""PC"",""RELREC""]}}",Partially Executable,Draft
CORE-000713,FB3411,RFICDTC is greater than RFSTDTC,Date/Time of Informed Consent (RFICDTC) should not be after Subject Reference Start Date/Time (RFSTDTC).,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
,FB3405,'--STDTC is greater than RFPENDTC,Start Date/Time (--STDTC) variable value must be less than or equal to Date/Time of End of Participation (RFPENDTC).,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000047,"CG0518, TIG0613",ARM value in DM dataset is not among the values of ARM variable in TA dataset. This is allowed only in a multistage study with incomplete ARM assignment. Please confirm if your study is a multistage assignment study,"When study does not use multi-stage arm assignments and ARM is populated, ARM must be present in TA.ARM. This rule has been executed to identify all cases when ARM is not present in TA.ARM and therefore acknowledges that false positives may be recorded when multi-stage arm assignments are in use.","SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Partially Executable - Possible Overreporting,Published
CORE-000208,"CG0512, TIG0607",ACTARMCD is not in TA.ARMCD,"Trigger error when study does not use multi-stage arm assignments and ACTARMCD ^= null, and ACTARMCD is not in TA.ARMCD","SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Partially Executable - Possible Overreporting,Published
CORE-000209,"CG0514, TIG0609",ACTARM value in DM dataset is not among the values of ARM variable in the TA dataset. This is allowed only in a multistage study with incomplete ARM assignment. Please confirm if your study is a multistage assignment study.,"When study does not use multi-stage arm assignments and ACTARM is populated, ACTARM must be present in TA.ARM. This rule has been executed to identify all cases when ACTARM is not present in TA.ARM and therefore acknowledges that false positives may be recorded when multi-stage arm assignments are in use.","SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Partially Executable - Possible Overreporting,Published
